167-169,,,Hegira Dates,Date Range 1,Date Range 2
"????, 299 ?. ?. [K caps. I, ? 24]",29924,299,299,911,912
"????, 300 ?. ?. [K caps. I, ? 25 = F Sam. ? 115 ? 119]",30025115119,300,300,912,913
???????? ????? ?????? ???????? X ?.,#VALUE!,#VALUE!,0,NA,NA
"??-??’??, 298 ?. ?. [K caps. VIII, ? 7 = F Sam. ? 100]",2987100,298,298,910,911
"???????? (?), 298 ?. ?. [K caps. VIII, ? 3 = F Sam. ? 97]",298397,298,298,910,911
"????????, 29(4–8) ?. ?. [K caps. VIII, ? 12]",294812,294,294,906,907
???? ??? ?????,#VALUE!,#VALUE!,0,NA,NA
"??-???, 301 ?. ?. [K caps. V, ? 3]",3013,301,301,913,914
"??-???, 302 ?. ?. [K caps. V, ? 4, 6]",30246,302,302,914,915
"??-???, 303 ?. ?. [K caps. V, ? 7, 8]",30378,303,303,915,916
"??-???, 304 ?. ?. [K caps. VI, ? 1, 2]",30412,304,304,916,917
"??-???, 305 ?. ?. [K caps. VI, ? 3, 4]",30534,305,305,917,918
"??-???, 306 ?. ?. [K caps. VI, ? 5, 6]",30656,306,306,918,919
"??-???, 307 ?. ?. [K caps. VI, ? 7 = F Sam. ? 190]",3077190,307,307,919,920
"??-???, 308 ?. ?. [K caps. VI, ? 8, 9]",30889,308,308,920,921
"??-???, 309 ?. ?. [K caps. VI, ? 11 = F Sam. ? 204]",30911204,309,309,921,922
"??-???, 311 ?. ?. [K caps. VI, ? 11 = F Sam. ? 213]",31111213,311,311,923,924
"??-???, 312 ?. ?. [K caps. VI, ? 11 = F Sam. ? 215]",31211215,312,312,924,925
"??-???, 313 ?. ?. [K caps. VI, ? 11 = F Sam. ? 216]",31311216,313,313,925,926
"??-???, 319 ?. ?. [K caps. VI, ? 11 = F Sam. ? 224]",31911224,319,319,931,932
"?????????, 299 ?. ?. – ?????? ???????? ?. ?. [K caps. II, ? 11 = F Sam. ? 138]",29911138,299,299,911,912
"?????????, 300 ?. ?. – ?????? ???????? ?. ?. [K caps. II, ? 14]",30014,300,300,912,913
"?????????, 301 ?. ?. [K caps. II, ? 15, 16]",3011516,301,301,913,914
"?????????, 302 ?. ?. [K caps. II, ? 20, 21]",3022021,302,302,914,915
"?????????, 303 ?. ?. [K caps. II, ? 22, 23]",3032223,303,303,915,916
"?????????, 304 ?. ?. [K caps. II, ? 24, 25]",3042425,304,304,916,917
"?????????, 305 ?. ?. [K caps. III, ? 1, 2]",30512,305,305,917,918
"?????????, 306 ?. ?. [K caps. III, ? 3, 4, 5]",306345,306,306,918,919
"?????????, 307 ?. ?. [K caps. III, ? 6, 7]",30767,307,307,919,920
"?????????, 308 ?. ?. [K caps. III, ? 8, 9]",30889,308,308,920,921
"?????????, 309 ?. ?. [K caps. III, ? 10, 11]",3091011,309,309,921,922
"?????????, 310 ?. ?. [K caps. III, ? 12 = F Sam. ? 209]",31012209,310,310,922,923
"?????????, 311 ?. ?. [K caps. III, ? 13 = F Sam. ? 214]",31113214,311,311,923,924
"?????????, 313 ?. ?. [K caps. III, ? 14 = F Sam. ? 217]",31314217,313,313,925,926
"?????????, 315 ?. ?. [K caps. III, ? 15 = F Sam. ? 218]",31515218,315,315,927,928
"???????, 30(2–6) ?. ?. [K caps. VIII, ? 10]",302610,302,302,914,915
,,,0,NA,NA
170-171,170171,170,170,786,787
???????? – 1 ???.,1,1,1,622,623
"????? ??????? ??????????, 129 ?. ?.",129,129,129,746,747
‘???????? – ?? ????? 15 ????? ????? (? ??? ????? ????? ?????????????? ???,15,15,15,636,637
???????????),#VALUE!,#VALUE!,0,NA,NA
"??-??????, ??????? ??-?????, 154 ?. ?.",154,154,154,770,771
"??-??????, ??-???????????, 159 (?) ?. ?.",159,159,159,775,776
"??-?????, ??????? ??-?????, 160 ?. ?.",160,160,160,776,777
"??-?????, ??????? ??-?????, 184 ?. ?.",184,184,184,800,801
"??-?????, ??????? ??-?????, 189 ?. ?.",189,189,189,804,805
"??-??’???, ??????? ?????????, 197 ?. ?.",197,197,197,812,813
"??-?????????? ‘???-????, ??? ??-????, 247 ?. ?.",247,247,247,861,862
"??-?????‘?? ??-????, ??-???, 248 ?. ?.",248,248,248,862,863
"??-?????‘?? ??-????, ??-???, 249 ?. ?.",249,249,249,863,864
"??-?????‘?? ??-???? ??? ??-??‘???? ??-????, ????, 251 ?. ?.",251,251,251,865,866
