Information,Hegira Date 1,Date Range 1,Date Range 2,Hegira Date 2,Date Range 1,Date Range 2
"Samanid AR dirham, Nasr II b. Ahmad, al-Shash 309AH ",309,921,922,,,
"Samanid AR dirham, Nasr II b. Ahmad, Andaraba 308AH ",308,920,921,,,
"Samanid AR dirham, Nasr II b. Ahmad, fraction ",,,,,,
"Samanid AR dirham, Nasr II b. Ahmad, fraction ",,,,,,
"Samanid AR dirham, Nasr II b. Ahmad, Ma`dan 310AH ",310,922,923,,,
"Samanid AR dirham, Nasr II b. Ahmad, Nishapur 304AH ",304,916,917,,,
"Samanid AR dirham, Nasr II b. Ahmad, Nishapur 324AH ",324,935,936,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 303AH ",303,915,916,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 304AH ",304,916,917,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 305AH ",305,917,918,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 309AH ",309,921,922,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 309AH ",309,921,922,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 315AH ",315,927,928,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 318AH ",318,930,931,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 318AH ",318,930,931,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 32(5?)AH ",325,936,937,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 320AH ",320,932,,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 322AH ",322,933,934,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand 329AH ",329,940,941,,,
"Samanid AR dirham, Nasr II b. Ahmad, Samarqand [3]27AH, fraction ",327,938,939,,,
"Samanid AR dirham, Nasr II b. Ahmad, Shash ",,,,,,
"Samanid AR dirham, Nasr II b. Ahmad, Shash 317?AH ",317,929,930,,,
"Samanid AR dirham, Nasr II b. Ahmad, Shash 32xAH ",320,932,,329,940,941
"Samanid AR dirham, Nasr II b. Ahmad, Shash 32xAH ",320,932,,329,940,941
"Samanid AR dirham, Nasr II b. Ahmad, Shash? ",,,,,,
"Samanid AR dirham, Nasr II b. Ahmad, Shash? 308?AH ",308,920,921,,,
