reg.nr,Dy0sti,Myntort och årtal,AD,gram,kondition,"""fynd""","""fynd""",Hegira Date 1,X,Date Range 1,Date range 2,2 Date Range 1,2 Date Range 2
0,Um,mint? 82,0,0.48,f,0,181,82,0,701,702,0,0
0,Um,mint? 93,0,0.81,f 6n,1:NVlag4,0,93,0,711,712,0,0
0,Um,mint? 94,0,1,f 3n,1:NÖlag2,0,94,0,712,713,0,0
0,Um,mint? [9]4,0,0.47,f,1:oreg.,0,94,0,712,713,0,0
0,Um,mint? 98,0,0.37,f,1:oreg.,0,98,0,716,717,0,0
0,Um,mint? [79?99],0,0.11,f,1:oreg.,0,79,99,698,699,0,0
0,Um,mint? 9[0?9],0,0.92,f,1:oreg.,0,90,99,708,709,0,0
0,Um,mint? 9[0?9],0,0.64,f 5n,1:NÖlag2,0,90,99,708,709,0,0
0,Um,mint? 9[1?9],0,1.11,f,1:oreg.,0,91,99,709,710,0,0
0,Um,mint? 9[1?9],0,0.83,f 1n,0,181,91,99,709,710,0,0
0,Um,mint? 9[1?9],0,0.49,f,1:oreg.,0,91,99,709,710,0,0
0,Um,"mint? [94],[97],[99]",0,1.81,f 7n ,0,173,949799,0,0,0,0,0
0,Um,mint? [79?132],0,0.62,f,1:NVlag4,0,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.6,f,1:NVlag4,0,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.6,f,0,181,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.41,f 1n,1:x,0,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.39,f,0,181,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.24,f,1:NVlag4,0,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.23,f,1:x,0,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.22,f,1:oreg.,0,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.15,f,0,181,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.13,f,0,181,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.12,f,1:oreg.,0,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.08,f,1:oreg.,0,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.07,f,1:x,0,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.07,f,1:oreg.,0,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.06,f,1:oreg.,0,79,132,698,699,0,0
0,Um,mint? [79?132],0,0.03,f,1:oreg.,0,79,132,698,699,0,0
0,Um,mint? 1[00?32],0,0.3,f,0,181,100,132,718,719,0,0
0,AbRev,[Jayy?] 129,746.5,1.18,f 9n,1:oreg.,0,129,0,746,747,0,0
73,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
86,Ab1,0,0,0,f 2n,1:oreg.,0,0,0,0,0,0,0
74,Ab1,0,0,0,f 3n.,1:oreg.,0,0,0,0,0,0,0
2,Ab1,0,0,0,f 2n.,0,181,0,0,0,0,0,0
3,Ab1,0,0,0,f 1n.,0,181,0,0,0,0,0,0
5,Ab1,0,0,0,f .,0,181,0,0,0,0,0,0
75,Ab1,0,0,0,f .,1:oreg.,0,0,0,0,0,0,0
6,Ab1,0,0,0,f 4n,0,181,0,0,0,0,0,0
7,Ab1,0,0,0,f,0,181,0,0,0,0,0,0
93,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
58,Ab1,0,0,0,f .,1:NVlag4,0,0,0,0,0,0,0
76,Ab1,0,0,0,f .,1:oreg.,0,0,0,0,0,0,0
20,Ab1,0,0,0,f 1n,0,181,0,0,0,0,0,0
11,Ab1,0,0,0,f 7n,0,181,0,0,0,0,0,0
60,Ab1,0,0,0,f 5n,1:NVlag4,0,0,0,0,0,0,0
77,Ab1,0,0,0,f .,1:oreg.,0,0,0,0,0,0,0
25,Ab1,0,0,0,f,0,181,0,0,0,0,0,0
15,Ab1,0,0,0,f,0,181,0,0,0,0,0,0
62,Ab1,0,0,0,f 4n,1:NVlag4,0,0,0,0,0,0,0
78,Ab1,0,0,0,f 1n,1:oreg.,0,0,0,0,0,0,0
28,Ab1,0,0,0,f,0,181,0,0,0,0,0,0
19,Ab1,0,0,0,f,0,181,0,0,0,0,0,0
64,Ab1,0,0,0,f 10n,1:NVlag4,0,0,0,0,0,0,0
79,Ab1,0,0,0,f .,1:oreg.,0,0,0,0,0,0,0
41,Ab1,0,0,0,f 3n,0,173,0,0,0,0,0,0
23,Ab1,0,0,0,f,0,181,0,0,0,0,0,0
66,Ab1,0,0,0,f 12n,1:NVlag4,0,0,0,0,0,0,0
80,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
36,Ab1,0,0,0,f 9n,0,173,0,0,0,0,0,0
27,Ab1,0,0,0,f,0,181,0,0,0,0,0,0
68,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
81,Ab1,0,0,0,f 3n,1:oreg.,0,0,0,0,0,0,0
1,Ab1,0,0,0,f,1:NÖlag2,0,0,0,0,0,0,0
31,Ab1,0,0,0,f 2n,0,173,0,0,0,0,0,0
70,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
82,Ab1,0,0,0,f .,1:oreg.,0,0,0,0,0,0,0
44,Ab1,0,0,0,f 4n,1:NVlag4,0,0,0,0,0,0,0
35,Ab1,0,0,0,f,0,173,0,0,0,0,0,0
72,Ab1,0,0,0,f 3n,1:oreg.,0,0,0,0,0,0,0
83,Ab1,0,0,0,f 4n,1:oreg.,0,0,0,0,0,0,0
17,Ab1,0,0,0,f 2n,0,181,0,0,0,0,0,0
39,Ab1,0,0,0,f 2n.,0,173,0,0,0,0,0,0
51,Ab1,0,0,0,f 3n,1:NVlag4,0,0,0,0,0,0,0
84,Ab1,0,0,0,f 3n,1:oreg.,0,0,0,0,0,0,0
8,Ab1,0,0,0,f,0,181,0,0,0,0,0,0
43,Ab1,0,0,0,f 1n,0,173,0,0,0,0,0,0
55,Ab1,0,0,0,f 5n,1:NVlag4,0,0,0,0,0,0,0
85,Ab1,0,0,0,f,1:oreg.,0,0,0,0,0,0,0
33,Ab1,0,0,0,f .,0,173,0,0,0,0,0,0
47,Ab1,0,0,0,f,1:NVlag4,0,0,0,0,0,0,0
59,Ab1,0,0,0,f 5n,1:NVlag4,0,0,0,0,0,0,0
50,Ab1,0,0,0,f 5n,1:NVlag4,0,0,0,0,0,0,0
24,Ab1,0,0,0,f 1n,0,181,0,0,0,0,0,0
52,Ab1,0,0,0,f,1:NVlag4,0,0,0,0,0,0,0
63,Ab1,0,0,0,f 6n,1:NVlag4,0,0,0,0,0,0,0
54,Ab1,0,0,0,f,1:NVlag4,0,0,0,0,0,0,0
40,Ab1,0,0,0,f 7n,0,173,0,0,0,0,0,0
56,Ab1,0,0,0,f 2n,1:NVlag4,0,0,0,0,0,0,0
67,Ab1,0,0,0,f 9n,1:oreg.,0,0,0,0,0,0,0
